activityId,customerId,paymentId,canceled 
2,94,4,false
13,233,275,false
6,220,164,true
29,35,470,false
22,162,342,false
14,295,218,true
19,32,150,true
9,96,347,true
19,286,419,true
21,6,236,false
28,71,269,true
27,1,424,true
11,43,276,false
7,197,352,true
10,68,229,true
17,168,57,true
27,265,444,false
2,277,63,true
9,246,9,true
25,88,475,true
19,267,164,true
1,209,359,true
15,221,14,false
20,266,347,false
2,54,415,true
16,271,211,true
24,78,173,true
3,292,110,true
12,300,263,false
18,129,483,false
29,106,492,true
29,299,218,false
2,117,168,true
3,185,268,true
4,262,190,false
1,38,497,true
30,73,215,true
12,40,5,false
25,97,191,false
5,291,2,true
2,44,320,false
27,88,338,true
20,138,89,true
11,190,223,true
21,128,76,false
3,90,426,true
4,95,5,true
15,78,239,true
23,203,124,false
27,215,144,true
29,213,480,true
30,176,313,false
23,142,368,true
15,19,369,false
26,114,200,false
23,80,111,true
4,37,238,true
16,83,26,true
11,84,353,false
14,18,498,true
29,148,228,true
14,255,256,true
30,171,389,false
6,273,217,false
8,235,450,true
20,93,121,true
16,188,156,false
11,231,68,true
8,51,118,true
22,43,9,true
1,168,425,true
4,141,65,false
18,272,337,true
1,75,84,false
2,187,2,true
1,141,86,false
9,197,388,false
13,151,408,false
22,295,123,false
15,165,145,false
1,288,413,true
25,137,351,false
7,281,110,false
3,113,58,false
23,295,495,true
10,127,137,true
16,178,458,true
18,280,427,false
11,150,17,false
24,271,26,true
26,222,358,false
21,151,420,false
18,155,430,false
13,149,368,false
3,176,378,true
1,31,423,true
30,257,355,true
2,82,55,true
8,200,141,false
7,40,54,false
16,105,294,true
13,89,449,true
26,283,352,true
30,23,342,false
30,275,251,false
19,90,137,false
5,213,212,true
6,36,252,true
17,137,81,true
2,56,264,true
23,158,411,true
2,278,329,false
10,158,382,true
16,247,224,true
17,29,202,true
6,188,7,true
14,242,154,true
6,122,432,true
23,201,90,false
5,151,152,false
17,49,456,false
3,180,83,true
20,110,286,true
16,14,468,false
13,90,163,false
29,186,11,true
13,185,271,true
9,76,200,true
16,271,324,true
4,69,377,false
4,87,452,true
6,227,101,false
18,15,308,false
19,161,97,true
19,119,38,true
2,213,262,true
25,187,387,true
11,2,358,true
6,209,130,false
2,67,488,true
23,190,484,false
24,253,304,true
25,223,239,true
18,32,445,false
6,239,480,false
6,136,9,true
6,276,138,true
