customerId,villaID,startDate,finalDate
473,276,2/3/2022,20/3/2022
545,219,1/3/2022,15/3/2022
684,2,7/3/2022,18/3/2022
466,29,7/3/2022,25/3/2022
278,10,6/3/2022,14/3/2022
81,223,8/3/2022,15/3/2022
643,98,4/3/2022,21/3/2022
11,56,3/3/2022,13/3/2022
26,56,7/3/2022,18/3/2022
245,82,6/3/2022,16/3/2022
64,221,6/3/2022,25/3/2022
648,107,1/3/2022,17/3/2022
111,125,9/3/2022,14/3/2022
47,46,3/3/2022,22/3/2022
468,108,9/3/2022,10/3/2022
527,92,4/3/2022,11/3/2022
513,261,3/3/2022,22/3/2022
151,83,7/3/2022,13/3/2022
106,23,1/3/2022,10/3/2022
413,224,3/3/2022,12/3/2022
280,261,5/3/2022,13/3/2022
36,184,1/3/2022,21/3/2022
122,227,4/3/2022,23/3/2022
283,158,8/3/2022,12/3/2022
490,207,1/3/2022,22/3/2022
54,300,5/3/2022,10/3/2022
241,15,7/3/2022,14/3/2022
367,50,1/3/2022,23/3/2022
123,48,1/3/2022,11/3/2022
338,176,7/3/2022,17/3/2022
683,234,7/3/2022,25/3/2022
416,241,1/3/2022,14/3/2022
554,19,3/3/2022,11/3/2022
552,245,7/3/2022,19/3/2022
626,156,9/3/2022,23/3/2022
47,289,6/3/2022,23/3/2022
479,206,6/3/2022,17/3/2022
1,140,5/3/2022,24/3/2022
607,272,8/3/2022,15/3/2022
258,165,5/3/2022,20/3/2022
506,121,7/3/2022,17/3/2022
33,267,9/3/2022,24/3/2022
622,175,8/3/2022,11/3/2022
585,100,8/3/2022,19/3/2022
2,298,8/3/2022,22/3/2022
89,190,4/3/2022,16/3/2022
321,167,3/3/2022,20/3/2022
643,152,4/3/2022,14/3/2022
485,79,9/3/2022,15/3/2022
420,96,5/3/2022,18/3/2022
602,221,3/3/2022,22/3/2022
538,170,1/3/2022,12/3/2022
484,81,6/3/2022,24/3/2022
538,35,6/3/2022,24/3/2022
247,76,6/3/2022,11/3/2022
30,255,2/3/2022,20/3/2022
342,228,1/3/2022,24/3/2022
431,250,3/3/2022,21/3/2022
261,11,3/3/2022,12/3/2022
560,300,2/3/2022,18/3/2022
620,57,9/3/2022,13/3/2022
623,28,9/3/2022,20/3/2022
480,13,9/3/2022,10/3/2022
621,88,2/3/2022,15/3/2022
153,286,6/3/2022,19/3/2022
258,112,6/3/2022,13/3/2022
271,57,2/3/2022,14/3/2022
205,153,6/3/2022,24/3/2022
43,191,4/3/2022,18/3/2022
296,283,9/3/2022,25/3/2022
394,157,2/3/2022,23/3/2022
461,160,7/3/2022,24/3/2022
350,234,6/3/2022,20/3/2022
484,79,3/3/2022,19/3/2022
364,140,6/3/2022,10/3/2022
560,175,4/3/2022,20/3/2022
152,183,2/3/2022,22/3/2022
580,77,3/3/2022,24/3/2022
127,78,2/3/2022,25/3/2022
306,103,2/3/2022,16/3/2022
69,193,3/3/2022,18/3/2022
620,69,4/3/2022,17/3/2022
13,19,9/3/2022,10/3/2022
43,246,4/3/2022,12/3/2022
568,60,2/3/2022,16/3/2022
397,282,2/3/2022,18/3/2022
410,187,6/3/2022,15/3/2022
122,116,4/3/2022,10/3/2022
223,46,7/3/2022,16/3/2022
660,277,8/3/2022,12/3/2022
568,163,8/3/2022,15/3/2022
646,68,7/3/2022,11/3/2022
238,155,7/3/2022,13/3/2022
21,100,3/3/2022,20/3/2022
69,194,1/3/2022,17/3/2022
360,25,7/3/2022,20/3/2022
600,56,4/3/2022,17/3/2022
423,279,8/3/2022,23/3/2022
535,171,8/3/2022,11/3/2022
377,30,6/3/2022,18/3/2022
93,177,2/3/2022,20/3/2022
156,300,8/3/2022,25/3/2022
652,270,6/3/2022,21/3/2022
627,21,2/3/2022,15/3/2022
422,114,3/3/2022,24/3/2022
339,164,5/3/2022,16/3/2022
442,270,2/3/2022,16/3/2022
117,191,7/3/2022,15/3/2022
550,78,5/3/2022,19/3/2022
225,103,4/3/2022,17/3/2022
236,152,4/3/2022,12/3/2022
498,197,2/3/2022,10/3/2022
222,82,7/3/2022,13/3/2022
566,121,2/3/2022,23/3/2022
292,37,1/3/2022,10/3/2022
608,291,2/3/2022,23/3/2022
652,197,4/3/2022,13/3/2022
677,72,7/3/2022,18/3/2022
671,136,6/3/2022,11/3/2022
387,167,7/3/2022,16/3/2022
678,292,3/3/2022,13/3/2022
191,253,4/3/2022,21/3/2022
557,41,3/3/2022,11/3/2022
152,70,4/3/2022,10/3/2022
82,299,3/3/2022,24/3/2022
450,183,3/3/2022,20/3/2022
430,7,2/3/2022,16/3/2022
628,260,3/3/2022,19/3/2022
650,300,1/3/2022,14/3/2022
356,140,5/3/2022,14/3/2022
348,254,2/3/2022,25/3/2022
269,21,9/3/2022,13/3/2022
300,203,2/3/2022,11/3/2022
636,66,4/3/2022,24/3/2022
603,63,5/3/2022,22/3/2022
183,206,3/3/2022,25/3/2022
514,23,4/3/2022,12/3/2022
373,104,3/3/2022,25/3/2022
368,70,3/3/2022,23/3/2022
518,229,5/3/2022,21/3/2022
633,109,5/3/2022,19/3/2022
606,234,8/3/2022,21/3/2022
586,149,1/3/2022,17/3/2022
428,4,6/3/2022,14/3/2022
134,29,2/3/2022,17/3/2022
560,13,5/3/2022,21/3/2022
515,233,2/3/2022,18/3/2022
18,225,7/3/2022,20/3/2022
537,53,5/3/2022,19/3/2022
224,6,5/3/2022,16/3/2022
442,184,2/3/2022,11/3/2022
395,41,8/3/2022,25/3/2022
43,262,7/3/2022,21/3/2022
412,57,5/3/2022,24/3/2022
271,65,2/3/2022,10/3/2022
258,168,1/3/2022,17/3/2022
577,161,3/3/2022,25/3/2022
664,123,3/3/2022,17/3/2022
666,158,5/3/2022,17/3/2022
145,60,9/3/2022,13/3/2022
296,197,3/3/2022,18/3/2022
610,79,6/3/2022,19/3/2022
66,285,7/3/2022,14/3/2022
397,77,1/3/2022,21/3/2022
192,28,7/3/2022,18/3/2022
454,31,2/3/2022,22/3/2022
32,13,3/3/2022,12/3/2022
430,187,2/3/2022,21/3/2022
49,82,2/3/2022,19/3/2022
680,269,4/3/2022,17/3/2022
54,86,3/3/2022,24/3/2022
165,113,9/3/2022,21/3/2022
372,237,8/3/2022,12/3/2022
581,256,5/3/2022,17/3/2022
487,295,2/3/2022,11/3/2022
576,214,4/3/2022,13/3/2022
60,61,9/3/2022,17/3/2022
551,51,6/3/2022,19/3/2022
410,34,1/3/2022,25/3/2022
120,130,7/3/2022,20/3/2022
697,81,9/3/2022,21/3/2022
92,246,6/3/2022,16/3/2022
324,70,2/3/2022,14/3/2022
35,286,6/3/2022,19/3/2022
457,70,9/3/2022,13/3/2022
225,188,9/3/2022,11/3/2022
14,270,6/3/2022,19/3/2022
476,85,3/3/2022,15/3/2022
523,205,9/3/2022,21/3/2022
180,217,2/3/2022,16/3/2022
572,130,7/3/2022,18/3/2022
489,109,7/3/2022,23/3/2022
596,50,6/3/2022,11/3/2022
255,245,7/3/2022,12/3/2022
287,47,6/3/2022,16/3/2022
419,43,6/3/2022,24/3/2022
26,206,5/3/2022,19/3/2022
104,8,9/3/2022,13/3/2022
692,12,2/3/2022,20/3/2022
635,297,5/3/2022,14/3/2022
225,93,5/3/2022,18/3/2022
362,292,3/3/2022,16/3/2022
31,79,4/3/2022,16/3/2022
235,10,9/3/2022,24/3/2022
528,268,8/3/2022,13/3/2022
295,270,5/3/2022,22/3/2022
680,244,8/3/2022,24/3/2022
608,95,6/3/2022,24/3/2022
617,203,1/3/2022,22/3/2022
374,67,7/3/2022,17/3/2022
633,291,4/3/2022,17/3/2022
134,286,8/3/2022,24/3/2022
45,155,5/3/2022,18/3/2022
313,276,8/3/2022,11/3/2022
364,257,2/3/2022,12/3/2022
105,11,1/3/2022,24/3/2022
192,204,2/3/2022,19/3/2022
407,112,7/3/2022,10/3/2022
107,277,4/3/2022,24/3/2022
49,38,8/3/2022,14/3/2022
467,171,6/3/2022,14/3/2022
80,62,8/3/2022,15/3/2022
317,74,6/3/2022,14/3/2022
238,187,5/3/2022,16/3/2022
191,160,7/3/2022,19/3/2022
236,144,7/3/2022,10/3/2022
282,96,2/3/2022,17/3/2022
244,144,8/3/2022,23/3/2022
58,166,1/3/2022,20/3/2022
29,196,6/3/2022,19/3/2022
363,126,7/3/2022,24/3/2022
115,98,4/3/2022,24/3/2022
357,188,7/3/2022,15/3/2022
119,265,3/3/2022,17/3/2022
682,123,1/3/2022,18/3/2022
403,94,9/3/2022,22/3/2022
207,69,5/3/2022,21/3/2022
113,93,4/3/2022,23/3/2022
215,185,6/3/2022,14/3/2022
464,284,6/3/2022,16/3/2022
46,225,8/3/2022,25/3/2022
280,159,1/3/2022,13/3/2022
132,89,2/3/2022,18/3/2022
594,80,8/3/2022,19/3/2022
234,62,1/3/2022,24/3/2022
227,193,4/3/2022,17/3/2022
258,179,2/3/2022,25/3/2022
306,75,5/3/2022,24/3/2022
530,243,6/3/2022,11/3/2022
389,276,3/3/2022,23/3/2022
179,270,1/3/2022,21/3/2022
116,69,7/3/2022,16/3/2022
550,273,8/3/2022,21/3/2022
414,30,6/3/2022,11/3/2022
620,31,8/3/2022,12/3/2022
173,67,8/3/2022,15/3/2022
30,221,4/3/2022,25/3/2022
599,188,1/3/2022,19/3/2022
259,59,7/3/2022,11/3/2022
475,30,1/3/2022,15/3/2022
148,242,7/3/2022,23/3/2022
203,231,7/3/2022,24/3/2022
461,161,8/3/2022,19/3/2022
47,175,1/3/2022,18/3/2022
459,250,8/3/2022,19/3/2022
352,54,4/3/2022,23/3/2022
505,249,5/3/2022,12/3/2022
172,116,6/3/2022,22/3/2022
635,242,7/3/2022,19/3/2022
598,122,9/3/2022,13/3/2022
483,44,5/3/2022,20/3/2022
360,241,3/3/2022,12/3/2022
352,266,1/3/2022,21/3/2022
213,107,3/3/2022,11/3/2022
319,103,5/3/2022,10/3/2022
368,283,5/3/2022,14/3/2022
3,208,6/3/2022,24/3/2022
238,265,7/3/2022,21/3/2022
336,54,5/3/2022,16/3/2022
443,272,4/3/2022,21/3/2022
348,39,8/3/2022,18/3/2022
370,220,9/3/2022,12/3/2022
614,114,4/3/2022,25/3/2022
1,7,8/3/2022,12/3/2022
637,253,8/3/2022,12/3/2022
84,211,1/3/2022,16/3/2022
624,94,2/3/2022,17/3/2022
258,209,7/3/2022,18/3/2022
264,98,6/3/2022,23/3/2022
453,2,2/3/2022,25/3/2022
421,72,1/3/2022,10/3/2022
92,211,5/3/2022,18/3/2022
442,12,8/3/2022,13/3/2022
551,132,6/3/2022,13/3/2022
583,24,9/3/2022,19/3/2022
419,238,9/3/2022,15/3/2022
489,56,2/3/2022,25/3/2022
297,268,4/3/2022,11/3/2022
318,27,8/3/2022,24/3/2022
693,12,3/3/2022,24/3/2022
