id,customerId,amount,dutyDate,paymentDate
377,326,764,9/3/2022,25/3/2022
378,384,857,4/3/2022,17/3/2022
379,300,426,3/3/2022,21/3/2022
380,429,1482,7/3/2022,10/3/2022
381,179,1033,3/3/2022,15/3/2022
382,651,1397,6/3/2022,23/3/2022
383,636,309,5/3/2022,16/3/2022
384,522,1384,2/3/2022,12/3/2022
385,205,448,7/3/2022,11/3/2022
386,635,1489,3/3/2022,22/3/2022
387,344,1500,9/3/2022,20/3/2022
388,179,960,2/3/2022,16/3/2022
389,522,1477,5/3/2022,12/3/2022
390,242,747,8/3/2022,24/3/2022
391,61,1268,1/3/2022,12/3/2022
392,562,668,8/3/2022,14/3/2022
393,396,437,4/3/2022,24/3/2022
394,392,420,8/3/2022,18/3/2022
395,690,431,5/3/2022,14/3/2022
396,629,844,3/3/2022,22/3/2022
397,197,593,6/3/2022,11/3/2022
398,174,915,6/3/2022,20/3/2022
399,342,453,9/3/2022,17/3/2022
400,634,572,1/3/2022,19/3/2022
401,310,1438,8/3/2022,14/3/2022
402,47,1220,5/3/2022,15/3/2022
403,521,1385,8/3/2022,13/3/2022
404,434,1208,1/3/2022,24/3/2022
405,551,723,2/3/2022,24/3/2022
406,406,1477,1/3/2022,23/3/2022
407,654,1033,6/3/2022,24/3/2022
408,182,532,6/3/2022,15/3/2022
409,603,1102,7/3/2022,12/3/2022
410,270,851,3/3/2022,14/3/2022
411,620,535,7/3/2022,15/3/2022
412,576,456,3/3/2022,22/3/2022
413,547,796,9/3/2022,10/3/2022
414,9,1242,3/3/2022,19/3/2022
415,53,1317,6/3/2022,17/3/2022
416,279,1276,2/3/2022,18/3/2022
417,50,301,7/3/2022,18/3/2022
418,288,814,2/3/2022,11/3/2022
419,309,1199,9/3/2022,10/3/2022
420,46,1478,6/3/2022,13/3/2022
421,121,1251,5/3/2022,21/3/2022
422,461,702,4/3/2022,15/3/2022
423,560,1304,6/3/2022,15/3/2022
424,486,1380,1/3/2022,19/3/2022
425,648,1237,6/3/2022,21/3/2022
426,30,617,9/3/2022,21/3/2022
427,610,440,2/3/2022,21/3/2022
428,570,742,3/3/2022,19/3/2022
429,669,805,3/3/2022,20/3/2022
430,184,1208,8/3/2022,19/3/2022
431,76,1427,1/3/2022,23/3/2022
432,255,496,3/3/2022,25/3/2022
433,655,1399,7/3/2022,20/3/2022
434,394,321,7/3/2022,13/3/2022
435,459,638,5/3/2022,14/3/2022
436,39,543,3/3/2022,13/3/2022
437,699,713,8/3/2022,19/3/2022
438,377,1429,3/3/2022,19/3/2022
439,636,1220,3/3/2022,21/3/2022
440,622,1422,2/3/2022,21/3/2022
441,362,856,9/3/2022,14/3/2022
442,153,1453,3/3/2022,17/3/2022
443,588,422,9/3/2022,18/3/2022
444,314,398,6/3/2022,11/3/2022
445,295,866,1/3/2022,12/3/2022
446,600,1328,5/3/2022,12/3/2022
447,300,1077,1/3/2022,22/3/2022
448,596,1346,2/3/2022,12/3/2022
449,365,1174,4/3/2022,12/3/2022
450,537,1017,2/3/2022,11/3/2022
451,521,1409,4/3/2022,20/3/2022
452,627,713,6/3/2022,16/3/2022
453,70,1289,6/3/2022,24/3/2022
454,639,456,5/3/2022,17/3/2022
455,137,1144,1/3/2022,17/3/2022
456,279,748,1/3/2022,15/3/2022
457,491,801,4/3/2022,23/3/2022
458,92,984,2/3/2022,19/3/2022
459,673,764,8/3/2022,25/3/2022
460,131,561,8/3/2022,14/3/2022
461,635,1377,2/3/2022,24/3/2022
462,685,1147,9/3/2022,16/3/2022
463,155,873,4/3/2022,13/3/2022
464,344,1341,1/3/2022,11/3/2022
465,181,1142,8/3/2022,15/3/2022
466,188,1301,4/3/2022,12/3/2022
467,375,419,6/3/2022,15/3/2022
468,436,1108,9/3/2022,14/3/2022
469,88,1095,2/3/2022,11/3/2022
470,549,1348,4/3/2022,11/3/2022
471,346,1334,7/3/2022,22/3/2022
472,25,1144,3/3/2022,12/3/2022
473,305,636,3/3/2022,15/3/2022
474,421,487,9/3/2022,16/3/2022
475,538,1095,2/3/2022,25/3/2022
476,462,389,3/3/2022,13/3/2022
477,322,366,3/3/2022,23/3/2022
478,49,363,5/3/2022,15/3/2022
479,215,1486,4/3/2022,11/3/2022
480,250,758,7/3/2022,21/3/2022
481,28,1089,5/3/2022,19/3/2022
482,569,1421,6/3/2022,11/3/2022
483,69,519,7/3/2022,21/3/2022
484,373,955,7/3/2022,22/3/2022
485,626,406,1/3/2022,22/3/2022
486,71,726,7/3/2022,23/3/2022
487,363,965,2/3/2022,24/3/2022
488,253,828,7/3/2022,12/3/2022
489,482,1374,6/3/2022,13/3/2022
490,354,1349,5/3/2022,16/3/2022
491,688,590,7/3/2022,18/3/2022
492,519,578,4/3/2022,13/3/2022
493,473,818,9/3/2022,10/3/2022
494,96,830,8/3/2022,17/3/2022
495,552,1136,2/3/2022,10/3/2022
496,608,909,4/3/2022,21/3/2022
497,183,1374,1/3/2022,21/3/2022
498,573,608,8/3/2022,17/3/2022
499,566,969,2/3/2022,16/3/2022
500,600,1109,1/3/2022,22/3/2022
